Usia,Domisili,Nama Program,Harga Kelas,Kategori,Sub Kategori  1 (Tujuan),Sub Kategori 2 (Minat lain),Sub Kategori 3 (Minat lain),Sub Kategori 4 (Minat lain)
37,Balikpapan Kaltim,Paket Minuman Kekinian #1 + #2,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
20,Pangkalpinang,Paket Program A & B,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
43,Lampung,Paket program A dan B kursus merancang busana,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
34,Bekasi,paket Roll cake & marmer cake + bread class,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
40,Banyumas,Paket smock & ka jena,100,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
19,Riau,Paket smock & ka jena,100,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
32,Riau,Pecahan SD,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
30,Denpasar,Pecahan SD,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
33,Karawang,Pecahan SD,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
41,Surabaya,Pecahan SD,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
28,Sangatta Kaltim,Pecahan SD,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
36,Bogor,Pecahan SD,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
40,Samarinda,Pecahan SD,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
45,Cirebon,Pecahan SD,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
34,DKI Jakarta ,Pecahan SD,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
30,Pangkalpinang,Pecahan SD,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
42,Karanganyar,Pecahan SD,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
41,Makassar,Pecahan SD,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
36,Tangsel,Pecahan SD,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
26,Tanjung Balai Sumut,Pecahan SD,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
41,Bontang,Pecahan SD,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
38,Ternate,Pecahan SD,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
44,Surabaya ,Pecahan SD,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
45,Junrejo Kota Batu ,Pecahan SD,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
41,Bone Sulawesi Selatan,Pecahan SD,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
0,Purbalingga,Pecahan SD,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
35,Sidoarjo,Pecahan SD,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
45,Tegal,Pecahan SD,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
45,Kota Batu Jatim,Pecahan SD,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
31,DIY,Pecahan SD,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
38,Wonosobo,Pecahan SD ,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
39,Pemalang,Pecahan SD ,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
40,Depok,Pecahan SD ,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
32,Kota Serang,Pecahan SD ,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
41,Kalsel,Pecahan SD ,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
32,Sidrap Sulsel,Pecahan SD ,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
40,Malang,Pecahan SD ,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
33,Tangerang ,Pecahan SD ,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
33,Tegal ,Pecahan SD ,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
36,Denpasar,Pecahan SD ,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
20,Majalengka,Pecahan SD ,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
21,Belitung,Pecahan SD ,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
33,Pangkalpinang,Pecahan SD ,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
41,Jakarta,Pecahan SD ,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
40,Kota Dumai,Pecahan SD ,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
37,Banjarnegara,Pecahan SD ,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
46,Boyolali,Pecahan SD ,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
39,Ngawi Jawa Timur,Pecahan SD ,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
42,Bekasi,Pecahan SD ,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
37,Pangkalpinang,Pecahan SD ,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
30,Banjarnegara,Pecahan SD ,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
42,Bekasi ,Pecahan SD ,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
38,Banyumas,Pecahan SD ,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
35,Bogor,Pecahan SD ,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
39,Cilacap,Pecahan SD & Perkalian,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
39,Bone Sulsel,Pecahan SD & Perkalian,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
38,Balikpapan ,Pecahan SD & Perkalian,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
34,Yogyakarta,Pecahan SD & Perkalian,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
32,Salatiga,Pecahan SD & Perkalian,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
39,Bontang Kaltim,Pecahan SD & Perkalian ,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
27,Batam,Pempek dos,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
0,Sumbar,Pempek Dos,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
46,Samarinda,Pempek Dos,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
0,Majalengka,Pempek dos + kuker,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
23,Sragen,Pempek dos + martabak kari,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
26,Sulawesi Tenggara,Pempek dos + martabak kari,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
38,Lampung,Pempek Dos + pizza molor + decorasi cake,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
35,Samarinda,Pempek dos + pizza super molor,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
39,Depok,Pempek dos + pizza super molor,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
41,Bogor,Pempek dos + pizza super molor,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
38,Tangerang,Perkalian,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
30,Denpasar,Perkalian,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
28,Muna Sulawesi Tenggara ,Perkalian,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
26,Kota Bekasi ,Perkalian,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
45,Ponpes As Sunnah Batu ,Perkalian,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
27,Kefamenanu NTT,Perkalian,35,Anak,Kognitif Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
